,beer_names,style,07-28-2022,07-29-2022,07-30-2022,07-31-2022,08-01-2022,08-02-2022
717,The Allegory of Immortality,Sour - Other,4.07,4.15,4.15,4.15,4.07,4.07
718,The Allegory of Immortality,Sour - Other,4.07,4.15,4.15,4.15,4.07,4.15
719,The Allegory of Immortality,Sour - Other,4.07,4.15,4.15,4.15,4.15,4.07
720,The Allegory of Immortality,Sour - Other,4.07,4.15,4.15,4.15,4.15,4.15
721,The Allegory of Immortality,Sour - Other,4.15,4.07,4.07,4.07,4.07,4.07
722,The Allegory of Immortality,Sour - Other,4.15,4.07,4.07,4.07,4.07,4.15
723,The Allegory of Immortality,Sour - Other,4.15,4.07,4.07,4.07,4.15,4.07
724,The Allegory of Immortality,Sour - Other,4.15,4.07,4.07,4.07,4.15,4.15
725,The Allegory of Immortality,Sour - Other,4.15,4.07,4.07,4.15,4.07,4.07
726,The Allegory of Immortality,Sour - Other,4.15,4.07,4.07,4.15,4.07,4.15
727,The Allegory of Immortality,Sour - Other,4.15,4.07,4.07,4.15,4.15,4.07
728,The Allegory of Immortality,Sour - Other,4.15,4.07,4.07,4.15,4.15,4.15
729,The Allegory of Immortality,Sour - Other,4.15,4.07,4.15,4.07,4.07,4.07
730,The Allegory of Immortality,Sour - Other,4.15,4.07,4.15,4.07,4.07,4.15
731,The Allegory of Immortality,Sour - Other,4.15,4.07,4.15,4.07,4.15,4.07
732,The Allegory of Immortality,Sour - Other,4.15,4.07,4.15,4.07,4.15,4.15
733,The Allegory of Immortality,Sour - Other,4.15,4.07,4.15,4.15,4.07,4.07
734,The Allegory of Immortality,Sour - Other,4.15,4.07,4.15,4.15,4.07,4.15
735,The Allegory of Immortality,Sour - Other,4.15,4.07,4.15,4.15,4.15,4.07
736,The Allegory of Immortality,Sour - Other,4.15,4.07,4.15,4.15,4.15,4.15
737,The Allegory of Immortality,Sour - Other,4.15,4.15,4.07,4.07,4.07,4.07
738,The Allegory of Immortality,Sour - Other,4.15,4.15,4.07,4.07,4.07,4.15
739,The Allegory of Immortality,Sour - Other,4.15,4.15,4.07,4.07,4.15,4.07
740,The Allegory of Immortality,Sour - Other,4.15,4.15,4.07,4.07,4.15,4.15
741,The Allegory of Immortality,Sour - Other,4.15,4.15,4.07,4.15,4.07,4.07
742,The Allegory of Immortality,Sour - Other,4.15,4.15,4.07,4.15,4.07,4.15
743,The Allegory of Immortality,Sour - Other,4.15,4.15,4.07,4.15,4.15,4.07
744,The Allegory of Immortality,Sour - Other,4.15,4.15,4.07,4.15,4.15,4.15
745,The Allegory of Immortality,Sour - Other,4.15,4.15,4.15,4.07,4.07,4.07
746,The Allegory of Immortality,Sour - Other,4.15,4.15,4.15,4.07,4.07,4.15
747,The Allegory of Immortality,Sour - Other,4.15,4.15,4.15,4.07,4.15,4.07
748,The Allegory of Immortality,Sour - Other,4.15,4.15,4.15,4.07,4.15,4.15
749,The Allegory of Immortality,Sour - Other,4.15,4.15,4.15,4.15,4.07,4.07
750,The Allegory of Immortality,Sour - Other,4.15,4.15,4.15,4.15,4.07,4.15
751,The Allegory of Immortality,Sour - Other,4.15,4.15,4.15,4.15,4.15,4.07
752,The Allegory of Immortality,Sour - Other,4.15,4.15,4.15,4.15,4.15,4.15
753,Crypt of Thorns,Märzen,3.75,3.75,3.75,3.75,3.75,3.75
754,Born From Death,Farmhouse Ale - Saison,3.82,3.82,3.82,3.82,3.82,3.82
755,Difficulties In Comprehension,IPA - Imperial / Double,4.16,4.16,4.16,4.16,4.16,4.16
756,A Cursed Path to Nowhere,Stout - Imperial / Double,4.41,4.41,4.41,4.41,4.41,4.41
757,The River of Transcendence,IPA - American,4.07,4.07,4.07,4.07,4.07,4.07
758,The River of Transcendence,IPA - American,4.07,4.07,4.07,4.07,4.07,4.03
759,The River of Transcendence,IPA - American,4.07,4.07,4.07,4.07,4.03,4.07
760,The River of Transcendence,IPA - American,4.07,4.07,4.07,4.07,4.03,4.03
761,The River of Transcendence,IPA - American,4.07,4.07,4.07,4.03,4.07,4.07
762,The River of Transcendence,IPA - American,4.07,4.07,4.07,4.03,4.07,4.03
763,The River of Transcendence,IPA - American,4.07,4.07,4.07,4.03,4.03,4.07
764,The River of Transcendence,IPA - American,4.07,4.07,4.07,4.03,4.03,4.03
765,The River of Transcendence,IPA - American,4.07,4.07,4.03,4.07,4.07,4.07
766,The River of Transcendence,IPA - American,4.07,4.07,4.03,4.07,4.07,4.03
767,The River of Transcendence,IPA - American,4.07,4.07,4.03,4.07,4.03,4.07
768,The River of Transcendence,IPA - American,4.07,4.07,4.03,4.07,4.03,4.03
769,The River of Transcendence,IPA - American,4.07,4.07,4.03,4.03,4.07,4.07
770,The River of Transcendence,IPA - American,4.07,4.07,4.03,4.03,4.07,4.03
771,The River of Transcendence,IPA - American,4.07,4.07,4.03,4.03,4.03,4.07
772,The River of Transcendence,IPA - American,4.07,4.07,4.03,4.03,4.03,4.03
773,The River of Transcendence,IPA - American,4.07,4.03,4.07,4.07,4.07,4.07
774,The River of Transcendence,IPA - American,4.07,4.03,4.07,4.07,4.07,4.03
775,The River of Transcendence,IPA - American,4.07,4.03,4.07,4.07,4.03,4.07
776,The River of Transcendence,IPA - American,4.07,4.03,4.07,4.07,4.03,4.03
777,The River of Transcendence,IPA - American,4.07,4.03,4.07,4.03,4.07,4.07
778,The River of Transcendence,IPA - American,4.07,4.03,4.07,4.03,4.07,4.03
779,The River of Transcendence,IPA - American,4.07,4.03,4.07,4.03,4.03,4.07
780,The River of Transcendence,IPA - American,4.07,4.03,4.07,4.03,4.03,4.03
781,The River of Transcendence,IPA - American,4.07,4.03,4.03,4.07,4.07,4.07
782,The River of Transcendence,IPA - American,4.07,4.03,4.03,4.07,4.07,4.03
783,The River of Transcendence,IPA - American,4.07,4.03,4.03,4.07,4.03,4.07
784,The River of Transcendence,IPA - American,4.07,4.03,4.03,4.07,4.03,4.03
785,The River of Transcendence,IPA - American,4.07,4.03,4.03,4.03,4.07,4.07
786,The River of Transcendence,IPA - American,4.07,4.03,4.03,4.03,4.07,4.03
787,The River of Transcendence,IPA - American,4.07,4.03,4.03,4.03,4.03,4.07
788,The River of Transcendence,IPA - American,4.07,4.03,4.03,4.03,4.03,4.03
789,The River of Transcendence,IPA - American,4.03,4.07,4.07,4.07,4.07,4.07
790,The River of Transcendence,IPA - American,4.03,4.07,4.07,4.07,4.07,4.03
791,The River of Transcendence,IPA - American,4.03,4.07,4.07,4.07,4.03,4.07
792,The River of Transcendence,IPA - American,4.03,4.07,4.07,4.07,4.03,4.03
793,The River of Transcendence,IPA - American,4.03,4.07,4.07,4.03,4.07,4.07
794,The River of Transcendence,IPA - American,4.03,4.07,4.07,4.03,4.07,4.03
795,The River of Transcendence,IPA - American,4.03,4.07,4.07,4.03,4.03,4.07
796,The River of Transcendence,IPA - American,4.03,4.07,4.07,4.03,4.03,4.03
797,The River of Transcendence,IPA - American,4.03,4.07,4.03,4.07,4.07,4.07
798,The River of Transcendence,IPA - American,4.03,4.07,4.03,4.07,4.07,4.03
799,The River of Transcendence,IPA - American,4.03,4.07,4.03,4.07,4.03,4.07
800,The River of Transcendence,IPA - American,4.03,4.07,4.03,4.07,4.03,4.03
801,The River of Transcendence,IPA - American,4.03,4.07,4.03,4.03,4.07,4.07
802,The River of Transcendence,IPA - American,4.03,4.07,4.03,4.03,4.07,4.03
803,The River of Transcendence,IPA - American,4.03,4.07,4.03,4.03,4.03,4.07
804,The River of Transcendence,IPA - American,4.03,4.07,4.03,4.03,4.03,4.03
805,The River of Transcendence,IPA - American,4.03,4.03,4.07,4.07,4.07,4.07
806,The River of Transcendence,IPA - American,4.03,4.03,4.07,4.07,4.07,4.03
807,The River of Transcendence,IPA - American,4.03,4.03,4.07,4.07,4.03,4.07
808,The River of Transcendence,IPA - American,4.03,4.03,4.07,4.07,4.03,4.03
809,The River of Transcendence,IPA - American,4.03,4.03,4.07,4.03,4.07,4.07
810,The River of Transcendence,IPA - American,4.03,4.03,4.07,4.03,4.07,4.03
811,The River of Transcendence,IPA - American,4.03,4.03,4.07,4.03,4.03,4.07
812,The River of Transcendence,IPA - American,4.03,4.03,4.07,4.03,4.03,4.03
813,The River of Transcendence,IPA - American,4.03,4.03,4.03,4.07,4.07,4.07
814,The River of Transcendence,IPA - American,4.03,4.03,4.03,4.07,4.07,4.03
815,The River of Transcendence,IPA - American,4.03,4.03,4.03,4.07,4.03,4.07
816,The River of Transcendence,IPA - American,4.03,4.03,4.03,4.07,4.03,4.03
817,The River of Transcendence,IPA - American,4.03,4.03,4.03,4.03,4.07,4.07
818,The River of Transcendence,IPA - American,4.03,4.03,4.03,4.03,4.07,4.03
819,The River of Transcendence,IPA - American,4.03,4.03,4.03,4.03,4.03,4.07
820,The River of Transcendence,IPA - American,4.03,4.03,4.03,4.03,4.03,4.03
821,The Departure of Souls,IPA - American,4.08,4.08,4.08,4.08,4.08,4.08
822,The Departure of Souls,IPA - American,4.08,4.08,4.08,4.08,4.08,4.06
823,The Departure of Souls,IPA - American,4.08,4.08,4.08,4.08,4.06,4.08
824,The Departure of Souls,IPA - American,4.08,4.08,4.08,4.08,4.06,4.06
825,The Departure of Souls,IPA - American,4.08,4.08,4.08,4.06,4.08,4.08
826,The Departure of Souls,IPA - American,4.08,4.08,4.08,4.06,4.08,4.06
827,The Departure of Souls,IPA - American,4.08,4.08,4.08,4.06,4.06,4.08
828,The Departure of Souls,IPA - American,4.08,4.08,4.08,4.06,4.06,4.06
829,The Departure of Souls,IPA - American,4.08,4.08,4.06,4.08,4.08,4.08
830,The Departure of Souls,IPA - American,4.08,4.08,4.06,4.08,4.08,4.06
831,The Departure of Souls,IPA - American,4.08,4.08,4.06,4.08,4.06,4.08
832,The Departure of Souls,IPA - American,4.08,4.08,4.06,4.08,4.06,4.06
833,The Departure of Souls,IPA - American,4.08,4.08,4.06,4.06,4.08,4.08
834,The Departure of Souls,IPA - American,4.08,4.08,4.06,4.06,4.08,4.06
835,The Departure of Souls,IPA - American,4.08,4.08,4.06,4.06,4.06,4.08
836,The Departure of Souls,IPA - American,4.08,4.08,4.06,4.06,4.06,4.06
837,The Departure of Souls,IPA - American,4.08,4.06,4.08,4.08,4.08,4.08
838,The Departure of Souls,IPA - American,4.08,4.06,4.08,4.08,4.08,4.06
839,The Departure of Souls,IPA - American,4.08,4.06,4.08,4.08,4.06,4.08
840,The Departure of Souls,IPA - American,4.08,4.06,4.08,4.08,4.06,4.06
841,The Departure of Souls,IPA - American,4.08,4.06,4.08,4.06,4.08,4.08
842,The Departure of Souls,IPA - American,4.08,4.06,4.08,4.06,4.08,4.06
843,The Departure of Souls,IPA - American,4.08,4.06,4.08,4.06,4.06,4.08
844,The Departure of Souls,IPA - American,4.08,4.06,4.08,4.06,4.06,4.06
845,The Departure of Souls,IPA - American,4.08,4.06,4.06,4.08,4.08,4.08
846,The Departure of Souls,IPA - American,4.08,4.06,4.06,4.08,4.08,4.06
847,The Departure of Souls,IPA - American,4.08,4.06,4.06,4.08,4.06,4.08
848,The Departure of Souls,IPA - American,4.08,4.06,4.06,4.08,4.06,4.06
849,The Departure of Souls,IPA - American,4.08,4.06,4.06,4.06,4.08,4.08
850,The Departure of Souls,IPA - American,4.08,4.06,4.06,4.06,4.08,4.06
851,The Departure of Souls,IPA - American,4.08,4.06,4.06,4.06,4.06,4.08
852,The Departure of Souls,IPA - American,4.08,4.06,4.06,4.06,4.06,4.06
853,The Departure of Souls,IPA - American,4.06,4.08,4.08,4.08,4.08,4.08
854,The Departure of Souls,IPA - American,4.06,4.08,4.08,4.08,4.08,4.06
855,The Departure of Souls,IPA - American,4.06,4.08,4.08,4.08,4.06,4.08
856,The Departure of Souls,IPA - American,4.06,4.08,4.08,4.08,4.06,4.06
857,The Departure of Souls,IPA - American,4.06,4.08,4.08,4.06,4.08,4.08
858,The Departure of Souls,IPA - American,4.06,4.08,4.08,4.06,4.08,4.06
859,The Departure of Souls,IPA - American,4.06,4.08,4.08,4.06,4.06,4.08
860,The Departure of Souls,IPA - American,4.06,4.08,4.08,4.06,4.06,4.06
861,The Departure of Souls,IPA - American,4.06,4.08,4.06,4.08,4.08,4.08
862,The Departure of Souls,IPA - American,4.06,4.08,4.06,4.08,4.08,4.06
863,The Departure of Souls,IPA - American,4.06,4.08,4.06,4.08,4.06,4.08
864,The Departure of Souls,IPA - American,4.06,4.08,4.06,4.08,4.06,4.06
865,The Departure of Souls,IPA - American,4.06,4.08,4.06,4.06,4.08,4.08
866,The Departure of Souls,IPA - American,4.06,4.08,4.06,4.06,4.08,4.06
867,The Departure of Souls,IPA - American,4.06,4.08,4.06,4.06,4.06,4.08
868,The Departure of Souls,IPA - American,4.06,4.08,4.06,4.06,4.06,4.06
869,The Departure of Souls,IPA - American,4.06,4.06,4.08,4.08,4.08,4.08
870,The Departure of Souls,IPA - American,4.06,4.06,4.08,4.08,4.08,4.06
871,The Departure of Souls,IPA - American,4.06,4.06,4.08,4.08,4.06,4.08
872,The Departure of Souls,IPA - American,4.06,4.06,4.08,4.08,4.06,4.06
873,The Departure of Souls,IPA - American,4.06,4.06,4.08,4.06,4.08,4.08
874,The Departure of Souls,IPA - American,4.06,4.06,4.08,4.06,4.08,4.06
875,The Departure of Souls,IPA - American,4.06,4.06,4.08,4.06,4.06,4.08
876,The Departure of Souls,IPA - American,4.06,4.06,4.08,4.06,4.06,4.06
877,The Departure of Souls,IPA - American,4.06,4.06,4.06,4.08,4.08,4.08
878,The Departure of Souls,IPA - American,4.06,4.06,4.06,4.08,4.08,4.06
879,The Departure of Souls,IPA - American,4.06,4.06,4.06,4.08,4.06,4.08
880,The Departure of Souls,IPA - American,4.06,4.06,4.06,4.08,4.06,4.06
881,The Departure of Souls,IPA - American,4.06,4.06,4.06,4.06,4.08,4.08
882,The Departure of Souls,IPA - American,4.06,4.06,4.06,4.06,4.08,4.06
883,The Departure of Souls,IPA - American,4.06,4.06,4.06,4.06,4.06,4.08
884,The Departure of Souls,IPA - American,4.06,4.06,4.06,4.06,4.06,4.06
885,Vulgarity of Haste,Farmhouse Ale - Grisette,,,,,,
886,Feral Gates of Flesh,Sour - Other,4.09,4.09,4.09,4.09,4.09,4.09
887,Feral Gates of Flesh,Sour - Other,4.09,4.09,4.09,4.09,4.09,3.99
888,Feral Gates of Flesh,Sour - Other,4.09,4.09,4.09,4.09,3.99,4.09
889,Feral Gates of Flesh,Sour - Other,4.09,4.09,4.09,4.09,3.99,3.99
890,Feral Gates of Flesh,Sour - Other,4.09,4.09,4.09,3.99,4.09,4.09
891,Feral Gates of Flesh,Sour - Other,4.09,4.09,4.09,3.99,4.09,3.99
892,Feral Gates of Flesh,Sour - Other,4.09,4.09,4.09,3.99,3.99,4.09
893,Feral Gates of Flesh,Sour - Other,4.09,4.09,4.09,3.99,3.99,3.99
894,Feral Gates of Flesh,Sour - Other,4.09,4.09,3.99,4.09,4.09,4.09
895,Feral Gates of Flesh,Sour - Other,4.09,4.09,3.99,4.09,4.09,3.99
896,Feral Gates of Flesh,Sour - Other,4.09,4.09,3.99,4.09,3.99,4.09
897,Feral Gates of Flesh,Sour - Other,4.09,4.09,3.99,4.09,3.99,3.99
898,Feral Gates of Flesh,Sour - Other,4.09,4.09,3.99,3.99,4.09,4.09
899,Feral Gates of Flesh,Sour - Other,4.09,4.09,3.99,3.99,4.09,3.99
900,Feral Gates of Flesh,Sour - Other,4.09,4.09,3.99,3.99,3.99,4.09
901,Feral Gates of Flesh,Sour - Other,4.09,4.09,3.99,3.99,3.99,3.99
902,Feral Gates of Flesh,Sour - Other,4.09,3.99,4.09,4.09,4.09,4.09
903,Feral Gates of Flesh,Sour - Other,4.09,3.99,4.09,4.09,4.09,3.99
904,Feral Gates of Flesh,Sour - Other,4.09,3.99,4.09,4.09,3.99,4.09
905,Feral Gates of Flesh,Sour - Other,4.09,3.99,4.09,4.09,3.99,3.99
906,Feral Gates of Flesh,Sour - Other,4.09,3.99,4.09,3.99,4.09,4.09
907,Feral Gates of Flesh,Sour - Other,4.09,3.99,4.09,3.99,4.09,3.99
908,Feral Gates of Flesh,Sour - Other,4.09,3.99,4.09,3.99,3.99,4.09
909,Feral Gates of Flesh,Sour - Other,4.09,3.99,4.09,3.99,3.99,3.99
910,Feral Gates of Flesh,Sour - Other,4.09,3.99,3.99,4.09,4.09,4.09
911,Feral Gates of Flesh,Sour - Other,4.09,3.99,3.99,4.09,4.09,3.99
912,Feral Gates of Flesh,Sour - Other,4.09,3.99,3.99,4.09,3.99,4.09
913,Feral Gates of Flesh,Sour - Other,4.09,3.99,3.99,4.09,3.99,3.99
914,Feral Gates of Flesh,Sour - Other,4.09,3.99,3.99,3.99,4.09,4.09
915,Feral Gates of Flesh,Sour - Other,4.09,3.99,3.99,3.99,4.09,3.99
916,Feral Gates of Flesh,Sour - Other,4.09,3.99,3.99,3.99,3.99,4.09
917,Feral Gates of Flesh,Sour - Other,4.09,3.99,3.99,3.99,3.99,3.99
918,Feral Gates of Flesh,Sour - Other,3.99,4.09,4.09,4.09,4.09,4.09
919,Feral Gates of Flesh,Sour - Other,3.99,4.09,4.09,4.09,4.09,3.99
920,Feral Gates of Flesh,Sour - Other,3.99,4.09,4.09,4.09,3.99,4.09
921,Feral Gates of Flesh,Sour - Other,3.99,4.09,4.09,4.09,3.99,3.99
922,Feral Gates of Flesh,Sour - Other,3.99,4.09,4.09,3.99,4.09,4.09
923,Feral Gates of Flesh,Sour - Other,3.99,4.09,4.09,3.99,4.09,3.99
924,Feral Gates of Flesh,Sour - Other,3.99,4.09,4.09,3.99,3.99,4.09
925,Feral Gates of Flesh,Sour - Other,3.99,4.09,4.09,3.99,3.99,3.99
926,Feral Gates of Flesh,Sour - Other,3.99,4.09,3.99,4.09,4.09,4.09
927,Feral Gates of Flesh,Sour - Other,3.99,4.09,3.99,4.09,4.09,3.99
928,Feral Gates of Flesh,Sour - Other,3.99,4.09,3.99,4.09,3.99,4.09
929,Feral Gates of Flesh,Sour - Other,3.99,4.09,3.99,4.09,3.99,3.99
930,Feral Gates of Flesh,Sour - Other,3.99,4.09,3.99,3.99,4.09,4.09
931,Feral Gates of Flesh,Sour - Other,3.99,4.09,3.99,3.99,4.09,3.99
932,Feral Gates of Flesh,Sour - Other,3.99,4.09,3.99,3.99,3.99,4.09
933,Feral Gates of Flesh,Sour - Other,3.99,4.09,3.99,3.99,3.99,3.99
934,Feral Gates of Flesh,Sour - Other,3.99,3.99,4.09,4.09,4.09,4.09
935,Feral Gates of Flesh,Sour - Other,3.99,3.99,4.09,4.09,4.09,3.99
936,Feral Gates of Flesh,Sour - Other,3.99,3.99,4.09,4.09,3.99,4.09
937,Feral Gates of Flesh,Sour - Other,3.99,3.99,4.09,4.09,3.99,3.99
938,Feral Gates of Flesh,Sour - Other,3.99,3.99,4.09,3.99,4.09,4.09
939,Feral Gates of Flesh,Sour - Other,3.99,3.99,4.09,3.99,4.09,3.99
940,Feral Gates of Flesh,Sour - Other,3.99,3.99,4.09,3.99,3.99,4.09
941,Feral Gates of Flesh,Sour - Other,3.99,3.99,4.09,3.99,3.99,3.99
942,Feral Gates of Flesh,Sour - Other,3.99,3.99,3.99,4.09,4.09,4.09
943,Feral Gates of Flesh,Sour - Other,3.99,3.99,3.99,4.09,4.09,3.99
944,Feral Gates of Flesh,Sour - Other,3.99,3.99,3.99,4.09,3.99,4.09
945,Feral Gates of Flesh,Sour - Other,3.99,3.99,3.99,4.09,3.99,3.99
946,Feral Gates of Flesh,Sour - Other,3.99,3.99,3.99,3.99,4.09,4.09
947,Feral Gates of Flesh,Sour - Other,3.99,3.99,3.99,3.99,4.09,3.99
948,Feral Gates of Flesh,Sour - Other,3.99,3.99,3.99,3.99,3.99,4.09
949,Feral Gates of Flesh,Sour - Other,3.99,3.99,3.99,3.99,3.99,3.99
950,Difficulties In Comprehension (Oolong Variant),IPA - Imperial / Double,4.04,4.04,4.04,4.04,4.04,4.04
951,Difficulties In Comprehension (Limoncello Variant),IPA - Imperial / Double,4.05,4.05,4.05,4.05,4.05,4.05
952,The Decapitation of Morbidity,IPA - American,4.19,4.19,4.19,4.19,4.19,4.19
953,The Garden of Earthly Delights V (2019),Farmhouse Ale - Saison,4.11,4.11,4.11,4.11,4.11,4.11
954,Enlightened By the Distortion,Farmhouse Ale - Saison,,,,,,
955,Display of Vulgarities,IPA - Imperial / Double,4.25,4.25,4.25,4.25,4.25,4.25
956,Vicious Cycle,IPA - Imperial / Double,4.17,4.17,4.17,4.17,4.17,4.17
957,The Orphans of Consciousness,Sour - Other,4.11,4.11,4.11,4.11,4.11,4.11
958,An Abyss of Human Experience,IPA - Triple,4.38,4.38,4.38,4.38,4.38,4.38
959,Idol For None,Stout - Imperial / Double,4.43,4.43,4.43,4.43,4.43,4.43
960,Through the Gates of the Sleepy Silver Door,Pale Ale - American,3.98,3.98,3.98,3.98,3.98,3.98
961,The Trance of Expanding Light,Pale Ale - American,4.0,4.0,4.0,4.0,4.0,4.0
962,Jet Black Hallucinations,Porter - American,3.61,3.61,3.61,3.61,3.61,3.61
963,Skrileleet,Stout - American,,,,,,
964,Death And the Miser (2018 Vintage),Sour - Other,4.18,4.18,4.18,4.18,4.18,4.18
965,Ascent of the Blessed (2019),Sour - Other,4.07,4.07,4.07,4.07,4.07,4.07
966,This Immortal Coil,Lager - IPL (India Pale Lager),3.93,3.93,3.93,3.93,3.93,3.93
967,Until There Is No Longer,IPA - American,4.22,4.22,4.22,4.22,4.22,4.22
968,Krystal Artifakts,IPA - American,4.06,4.06,4.06,4.06,4.06,4.06
969,No Dawn,Malt Liquor,3.71,3.71,3.71,3.71,3.71,3.71
970,The Pall of Ominous Aura,IPA - American,3.9,3.9,3.9,3.9,3.9,3.9
971,Black Coffee Lager,Lager - Dark,4.15,4.15,4.15,4.15,4.15,4.15
972,Yeast of Eden,Farmhouse Ale - Saison,,,,,,
973,Anno Domini MMXIX,Stout - Imperial / Double,4.41,4.41,4.41,4.41,4.41,4.41
974,Sixth Passing,IPA - Imperial / Double,4.29,4.29,4.29,4.29,4.29,4.29
975,Ain't It Wild,IPA - Imperial / Double,3.98,3.98,3.98,3.98,3.98,3.98
976,Heavy,Lager - American Light,3.83,3.83,3.83,3.83,3.83,3.83
977,Fall of the Damned (2019),Sour - Other,4.22,4.22,4.22,4.22,4.22,4.22
978,Fall of the Rebel Angels (2019 Release),Sour - Other,4.05,4.05,4.05,4.05,4.05,4.05
979,Repentance,Sour - Other,4.26,4.26,4.26,4.26,4.26,4.26
980,Modern Savage,Sour - Other,,,,,,
981,Before I Fade From Consciousness,IPA - American,3.86,3.86,3.86,3.86,3.86,3.86
982,Remnants of the Kill,IPA - Imperial / Double,4.2,4.2,4.2,4.2,4.2,4.2
983,Parallel Delusions,Wheat Beer - Other,3.71,3.71,3.71,3.71,3.71,3.71
984,Blended Golden Sour With Chokeberries,Sour - Other,3.77,3.77,3.77,3.77,3.77,3.77
985,The Things We Conjure,IPA - American,4.19,4.19,4.19,4.19,4.19,4.19
986,Sixth Sense,IPA - Session,,,,,,
987,The Abomination,IPA - New England / Hazy,,,,,,
988,A State of Utter Savagery,Sour - Other,4.07,4.07,4.07,4.07,4.07,4.07
989,A Portal Towards Nonexistence,Stout - Imperial / Double,4.44,4.44,4.44,4.44,4.44,4.44
990,I've Been Called Worse,Sour - Other,4.19,4.19,4.19,4.19,4.19,4.19
991,Those Who Made It Out,IPA - Imperial / Double,4.23,4.23,4.23,4.23,4.23,4.23
992,The Endless Suffer,Pilsner - Other,3.81,3.81,3.81,3.81,3.81,3.81
993,Adoration of the Mystical Melon,IPA - American,4.06,4.06,4.06,4.06,4.06,4.06
994,Beyond the Fields We Know,Pale Ale - American,3.93,3.93,3.93,3.93,3.93,3.93
995,Deathstalker,IPA - American,4.15,4.15,4.15,4.15,4.15,4.15
996,Sixth Cycle,IPA - Imperial / Double,,,,,,
997,I Think We Should Go Home,IPA - Imperial / Double,4.37,4.37,4.37,4.37,4.37,4.37
998,The Mayhem of Endless Nonsense,Stout - Imperial / Double,4.35,4.35,4.35,4.35,4.35,4.35
999,Tapestries of Torture,Sour - Other,4.05,4.05,4.05,4.05,4.05,4.05
1000,Of Strength And Solace,Sour - Other,4.02,4.02,4.02,4.02,4.02,4.02
1001,Other Forms of Evil,Pilsner - Other,3.96,3.96,3.96,3.96,3.96,3.96
1002,The Venom Vigil,IPA - Imperial / Double,4.17,4.17,4.17,4.17,4.17,4.17
1003,Into the Eyes of the Maker,Sour - Fruited,4.01,4.01,4.01,4.01,4.01,4.01
1004,What We Imagined,IPA - American,4.02,4.02,4.02,4.02,4.02,4.02
1005,To Forsake These Demented Ramblings,IPA - American,4.07,4.07,4.07,4.07,4.07,4.07
1006,I'm Actually Feeling Like All Is Right With the World And None of This Matters,Stout - Imperial / Double,4.5,4.5,4.5,4.5,4.5,4.5
1007,Stop Thinking About What You Want,Stout - Imperial / Double,4.47,4.47,4.47,4.47,4.47,4.47
1008,Paracosm of the Grotesque,IPA - Imperial / Double,4.22,4.22,4.22,4.22,4.22,4.22
1009,Sezion Fillion,Farmhouse Ale - Saison,3.8,3.8,3.8,3.8,3.8,3.8
1010,Something Pure,Lager - American,3.77,3.77,3.77,3.77,3.77,3.77
1011,Allured By the Endless Void,Sour - Berliner Weisse,3.87,3.87,3.87,3.87,3.87,3.87
1012,Mystic Circles of Severed Dreams,IPA - Imperial / Double,4.28,4.28,4.28,4.28,4.28,4.28
1013,Salted Caramel Peanut Butter,Stout - Imperial / Double,,,,,,
1014,In the Fall of Our Truth,IPA - American,4.21,4.21,4.21,4.21,4.21,4.21
1015,Tempest of the Swelling Sea,Sour - Other,3.92,3.92,3.92,3.92,3.92,3.92
1016,Into the Hereafter,Pale Ale - American,3.84,3.84,3.84,3.84,3.84,3.84
1017,Dead Meadow,Pale Ale - American,,,,,,
1018,Kilometer Zero,Pilsner - Other,3.52,3.52,3.52,3.52,3.52,3.52
1019,Ample Absurdity,Bock - Doppelbock,3.91,3.91,3.91,3.91,3.91,3.91
1020,Celestial Altar,IPA - American,4.26,4.26,4.26,4.26,4.26,4.26
1021,Sideways,Mild - Other,3.7,3.7,3.7,3.7,3.7,3.7
1022,Fabrications of the Nonbeliever,Stout - Imperial / Double,4.5,4.5,4.5,4.5,4.5,4.5
1023,Illogical Rantings of Non-Sequitur,Stout - Imperial / Double,4.39,4.39,4.39,4.39,4.39,4.39
1024,Exodus of Salvation,Sour - Fruited,4.07,4.07,4.07,4.07,4.07,4.07
1025,The Echoing Call of the Ever Creeping Sloth,Lager - Pale,3.77,3.77,3.77,3.77,3.77,3.77
1026,The Objects We Hold Dear,Sour - Other,3.95,3.95,3.95,3.95,3.95,3.95
1027,The Perils of Living In Pretend,Sour - Fruited,4.0,4.0,4.0,4.0,4.0,4.0
1028,Triumph of Death (2019),Sour - Other,3.97,3.97,3.97,3.97,3.97,3.97
1029,Celestial Lager,IPA - American,,,,,,
1030,Chow Chow,IPA - American,3.9,3.9,3.9,3.9,3.9,3.9
1031,Ballad of Broken Beaks,Golden Ale,3.88,3.88,3.88,3.88,3.88,3.88
1032,These Portals Into Piercing Awakening,Porter - Baltic,4.12,4.12,4.12,4.12,4.12,4.12
1033,Ruffian,IPA - Black / Cascadian Dark Ale,,,,,,
1034,Lethal Dose,IPA - Imperial / Double,4.05,4.05,4.05,4.05,4.05,4.05
1035,Faint Glimpses of Fabled Musings,Sour - Other,,,,,,
1036,The Wild Yet Unforgotten,Sour - Other,,,,,,
1037,Existential Vapors,Smoked Beer,3.52,3.52,3.52,3.52,3.52,3.52
1038,Catacombs of Righteousness,Porter - American,3.81,3.81,3.81,3.81,3.81,3.81
1039,A Brutal Departure Nonetheless,Stout - Imperial / Double,4.39,4.39,4.39,4.39,4.39,4.39
